"app","from","to","pre","keyword","post","phrase"
"Dont.Die",1758,1759,"your information if we believe in good faith that this is required or appropriate to","comply with","applicable law , regulations , or legal process ; to establish or exercise our legal","comply with"
"Dont.Die",1766,1767,"that this is required or appropriate to comply with applicable law , regulations , or","legal process","; to establish or exercise our legal rights ; to defend against legal claims ;","legal process"
"Dont.Die",2087,2089,"Other Disclosures . * * We may also disclose your information as otherwise permitted or","required by law",". The Services may include "" social "" features , such as forums and newsfeeds","required by law"
"Dont.Die",2129,2130,"upload , provide , or otherwise disclose information to other users . You are not","required to","use these features to use the Services . If you choose to disclose information via","required to"
"Dont.Die",2398,2399,"law . For example , if you ask us to delete information that we are","legally required","to retain , we may deny your request . We may take reasonable steps to","legally required"
"Dont.Die",2399,2400,". For example , if you ask us to delete information that we are legally","required to","retain , we may deny your request . We may take reasonable steps to verify","required to"
"Dont.Die",2601,2603,". We process requests to be placed on do-not-mail , do-not-phone , and do-not-contact lists","as required by","applicable law . Note that if you opt out of marketing communications , you may","as required by"
"Dont.Die",3507,3509,"is necessary to fulfill the purpose for which it was collected and retained , and","as required by","applicable law . Retention periods may vary depending on the type of information and the","as required by"
"Dont.Die",4531,4532,"by preventing fraud ; and ( 6 ) for legal purposes , such as to","comply with","applicable laws or to establish , exercise , or defend our legal rights . How","comply with"
"Dont.Die",4723,4724,"Policy , or other contracts with you , and for fraud prevention ; ? To","comply with","our legal obligations ; and ? In connection with any negotiation or completed acquisition ,","comply with"
"Dont.Die",4726,4727,"other contracts with you , and for fraud prevention ; ? To comply with our","legal obligations","; and ? In connection with any negotiation or completed acquisition , merger , or","legal obligation"
"Dont.Die",4870,4871,"; ? For legal purposes ( e.g . , to governmental entities in response to","legal process",") ; ? As necessary for business transfers ; ? At your direction or with","legal process"
"Fooducate",1887,1888,"also use the Log Data to verify that visitors to the Service meet the criteria","required to","process their requests . We use the Log Data to perform our contract with you","required to"
"Fooducate",2505,2506,"or appropriate under applicable law , to respond to requests from government authorities and to","comply with","legal process , investigations , regulatory or governmental inquiries or for other legal or regulatory","comply with"
"Fooducate",2507,2508,"under applicable law , to respond to requests from government authorities and to comply with","legal process",", investigations , regulatory or governmental inquiries or for other legal or regulatory purposes ?","legal process"
"Fooducate",2524,2525,", investigations , regulatory or governmental inquiries or for other legal or regulatory purposes ?","Comply with","our legal obligations ? Resolve any disputes with any of our users and enforce our","comply with"
"Fooducate",2527,2528,"regulatory or governmental inquiries or for other legal or regulatory purposes ? Comply with our","legal obligations","? Resolve any disputes with any of our users and enforce our agreements with third","legal obligation"
"Fooducate",2573,2574,"Personal Information for these purposes given our legitimate interest in protecting the Services and to","comply with","applicable laws . Marketing , Surveys , Sweepstakes , Contests and other Commercial Partnerships ?","comply with"
"Fooducate",4457,4458,"compliance , auditing and monitoring , research and development , and quality assurance ) .","Compliance with","Laws and Law Enforcement . Maple Media cooperates with government and law enforcement officials and","compliance with"
"Fooducate",4461,4462,"monitoring , research and development , and quality assurance ) . Compliance with Laws and","Law Enforcement",". Maple Media cooperates with government and law enforcement officials and private parties to enforce","law enforcement"
"Fooducate",4470,4471,") . Compliance with Laws and Law Enforcement . Maple Media cooperates with government and","law enforcement","officials and private parties to enforce and comply with the law . We may disclose","law enforcement"
"Fooducate",4479,4480,"Maple Media cooperates with government and law enforcement officials and private parties to enforce and","comply with","the law . We may disclose any Personal Information to government or law enforcement officials","comply with"
"Fooducate",4493,4494,"and comply with the law . We may disclose any Personal Information to government or","law enforcement","officials where necessary to respond to any government or law enforcement requests or private parties","law enforcement"
"Fooducate",4504,4505,"Information to government or law enforcement officials where necessary to respond to any government or","law enforcement","requests or private parties as we , in our sole discretion , believe necessary or","law enforcement"
"Fooducate",4527,4528,", in our sole discretion , believe necessary or appropriate to respond to claims and","legal process","( including but not limited to subpoenas ) , to protect the property and rights","legal process"
"Fooducate",4535,4535,"or appropriate to respond to claims and legal process ( including but not limited to","subpoenas",") , to protect the property and rights of Maple Media or a third party","subpoena"
"Fooducate",4732,4733,"depends on the purposes for which we collect and use it and / or as","required to","comply with applicable laws and to establish , exercise or defend against legal claims .","required to"
"Fooducate",4734,4735,"the purposes for which we collect and use it and / or as required to","comply with","applicable laws and to establish , exercise or defend against legal claims . V .","comply with"
"Fooducate",5372,5374,"that signals your intention to opt out of certain types of data processing . Where","required by law",", when we detect such a signal , we will make reasonable efforts to respect","required by law"
"Fooducate",5819,5820,"shared and to request access to certain information collected about them . We seek to","comply with","applicable law and to respect the wishes of our users . When you make a","comply with"
"Fooducate",5947,5948,"you for additional information to help us verify your request . Eligible users will be","required to","submit their first and last name and email address and may also be asked to","required to"
"Fooducate",6254,6255,"that your Personal Information will remain secure in all situations . We will make any","legally required","disclosures of any breach of the security , confidentiality , or integrity of your unencrypted","legally required"
"Fooducate",6326,6327,"without unreasonable delay , insofar as consistent with ( i ) the legitimate needs of","law enforcement","or ( ii ) any measures necessary to determine the scope of the breach and","law enforcement"
"Fooducate",6417,6419,"we ensure an adequate level of protection is afforded to it by ensuring , where","required by law",", at least one of the following safeguards is implemented : ? Transferring Personal Information","required by law"
"Garmin.Connect",5039,5040,") if we have your valid consent to do so ; ( b ) to","comply with","legal and regulatory obligations , such as a valid subpoena , court or judicial order","comply with"
"Garmin.Connect",5050,5050,"( b ) to comply with legal and regulatory obligations , such as a valid","subpoena",", court or judicial order , other valid legal process , or record keeping to","subpoena"
"Garmin.Connect",5059,5060,"obligations , such as a valid subpoena , court or judicial order , other valid","legal process",", or record keeping to support applicable reporting and auditing requirements ; ( c )","legal process"
"Garmin.Connect",5509,5510,"the UK extension . View our Data Privacy Framework Notice . All Garmin-owned companies are","required to","follow the privacy practices set forth in this Privacy Policy . Cookies and Similar Technologies","required to"
"Glooko",1749,1750,"we may also process any of your personal data where such processing is necessary for","compliance with","a legal obligation to which we are subject , or in order to protect your","compliance with"
"Glooko",1752,1753,"process any of your personal data where such processing is necessary for compliance with a","legal obligation","to which we are subject , or in order to protect your vital interests or","legal obligation"
"Glooko",1753,1754,"any of your personal data where such processing is necessary for compliance with a legal","obligation to","which we are subject , or in order to protect your vital interests or the","obligation to"
"Glooko",2245,2246,"Section 4 , we may disclose your personal data where such disclosure is necessary for","compliance with","a legal obligation to which we are subject , or in order to protect your","compliance with"
"Glooko",2248,2249,"we may disclose your personal data where such disclosure is necessary for compliance with a","legal obligation","to which we are subject , or in order to protect your vital interests or","legal obligation"
"Glooko",2249,2250,"may disclose your personal data where such disclosure is necessary for compliance with a legal","obligation to","which we are subject , or in order to protect your vital interests or the","obligation to"
"Glooko",2402,2403,"may include Inquiry Data , Service Data and Correspondence Data , as well as to","comply with","Regulatory requirements . 6 . International transfers of your personal data ( Europe , the","comply with"
"Glooko",2516,2517,"may include Inquiry Data , Service Data and Correspondence Data , as well as to","comply with","Regulatory requirements . Any international transfer of personal data between our locations will be protected","comply with"
"Glooko",3115,3116,"may retain your personal data for a longer period where such retention is necessary for","compliance with","a legal obligation to which we are subject , or in order to protect your","compliance with"
"Glooko",3118,3119,"personal data for a longer period where such retention is necessary for compliance with a","legal obligation","to which we are subject , or in order to protect your vital interests or","legal obligation"
"Glooko",3119,3120,"data for a longer period where such retention is necessary for compliance with a legal","obligation to","which we are subject , or in order to protect your vital interests or the","obligation to"
"Glooko",3815,3816,"is necessary : for exercising the right of freedom of expression and information ; for","compliance with","a legal or regulatory obligation ; or for the establishment , exercise or defense of","compliance with"
"Glooko",4626,4627,"instead we act as a data processor , this notice shall not apply . Our","legal obligations","as a data processor are instead set out in the data processing agreement between us","legal obligation"
"Glooko",5185,5186,"or disclosed by Glooko include those identified above in this privacy notice . Glooko is","obligated to","hold personal health information confidential under the California Confidentiality of Medical Information Act ( CMIA","obligated to"
"Glow",2011,2012,"below . Compliance and protection . We may use your personal information to : *","comply with","applicable laws , lawful requests , and legal process , such as to respond to","comply with"
"Glow",2020,2021,"your personal information to : * comply with applicable laws , lawful requests , and","legal process",", such as to respond to subpoenas or requests from government authorities ; * protect","legal process"
"Glow",2028,2028,"applicable laws , lawful requests , and legal process , such as to respond to","subpoenas","or requests from government authorities ; * protect our , your or others ’ rights","subpoena"
"Glow",2066,2067,"including by making and defending legal claims ) ; * audit our internal processes for","compliance with","legal and contractual requirements and internal policies ; * enforce the terms and conditions that","compliance with"
"Glow",2696,2697,"you click on an ad about a newborn product ) . Authorities and others .","Law enforcement",", government authorities , and private parties , as we believe in good faith to","law enforcement"
"Glow",2764,2765,"information , facilities , or assistance in accordance with the terms of a warrant ,","court order",", subpoena , wiretap order , pen register trap and trace order , or other","court order"
"Glow",2767,2767,", or assistance in accordance with the terms of a warrant , court order ,","subpoena",", wiretap order , pen register trap and trace order , or other legal process","subpoena"
"Glow",2781,2782,", subpoena , wiretap order , pen register trap and trace order , or other","legal process","issued by , or pursuant to , the procedures of another state or a political","legal process"
"Glow",3946,3948,"Service from a child under 16 without the consent of the child’s parent or guardian","as required by","law , we will delete it . Changes to this Privacy Policy We reserve the","as required by"
"Glow",3947,3949,"from a child under 16 without the consent of the child’s parent or guardian as","required by law",", we will delete it . Changes to this Privacy Policy We reserve the right","required by law"
"Glow",4004,4006,"updating the date of this Privacy Policy and posting it on the Service . If","required by law","we will also provide notification of changes in another way that we believe is reasonably","required by law"
"Glow",4483,4484,"automated decisions about you . We may use profiling in regard to your Personal Information","required to","operate some of our services , for example , to the extent needed to predict","required to"
"Glow",4689,4690,"requests by email to privacy@glowing.com or at https://support.glowing.com/hc/en-us/requests/new?ticket_form_id=360002386093. For requests submitted by email , you","must provide","enough Personal Information that allows us to verify your identity . Only you or your","must provide"
"Glow",4744,4746,"your behalf . We will fulfill or reject your request within the amount of time","required by law",". Appeal . If we deny your rights request , you have the right to","required by law"
"Glow",5059,5060,"services to you , whether online or offline . We have adopted this notice to","comply with","the CCPA . Please take the time to read and understand this California Notice at","comply with"
"Glow",6380,6381,"us to delete the Personal Information that we have collected . Note that we will","comply with","such a request regardless of whether you are located in California or elsewhere and we","comply with"
"Glow",6678,6679,"the Service is not directed to children under 16 years of age , we are","required to","inform you that we do not have actual knowledge that we sell or share the","required to"
"Glow",6914,6915,"personal information , except that we may do so to test whether our deidentification processes","comply with","applicable law . Your California privacy rights under California’s Shine the Light law . Under","comply with"
"Glow",7745,7746,"a person who is responsible for independently overseeing and advising us in relation to our","compliance with","the GDPR ( including compliance with the practices described in this Privacy Policy ) .","compliance with"
"Glow",7751,7752,"independently overseeing and advising us in relation to our compliance with the GDPR ( including","compliance with","the practices described in this Privacy Policy ) . If you want to contact our","compliance with"
"Glow",7792,7794,"GlowDataProtectionOfficer@glowing.com . Representatives . We have appointed the following representatives in the EEA / UK","as required by","the GDPR – you can also contact them directly should you wish : Our representative","as required by"
"Glow",8073,8074,"have your consent or are otherwise required or permitted to by law ) . To","comply with","law Processing is necessary to comply with our legal obligations . With your consent Processing","comply with"
"Glow",8078,8080,"otherwise required or permitted to by law ) . To comply with law Processing is","necessary to comply","with our legal obligations . With your consent Processing is based on your consent .","necessary to comply"
"Glow",8080,8081,"or permitted to by law ) . To comply with law Processing is necessary to","comply with","our legal obligations . With your consent Processing is based on your consent . Where","comply with"
"Glow",8083,8084,"by law ) . To comply with law Processing is necessary to comply with our","legal obligations",". With your consent Processing is based on your consent . Where we rely on","legal obligation"
"Glow",8252,8253,"basis . Sensitive personal information . Where the collection of your sensitive personal information is","required to","operate the Service , we obtain your explicit consent to collect such information about you","required to"
"Glow",8360,8361,"automated decisions about you . We may use profiling in regard to your personal information","required to","operate some of our services , for example , to the extent needed to predict","required to"
"Glow",8529,8530,"below ) , where we may have processed your information unlawfully or where we are","required to","erase your personal information to comply with local law . Note , however , that","required to"
"Glow",8536,8537,"processed your information unlawfully or where we are required to erase your personal information to","comply with","local law . Note , however , that we may not always be able to","comply with"
"Glow",8553,8554,"local law . Note , however , that we may not always be able to","comply with","your request of erasure for specific legal reasons that will be described to you ,","comply with"
"Healow",594,595,"may differ in certain locations based on local law , in which case healow will","comply with","the local legal requirements . If you are a California resident , our Privacy Notice","comply with"
"Healow",1843,1844,"accordance with any instructions or restrictions provided to healow by the Provider and in full","compliance with","the applicable provisions of HIPAA . 4.1.2 If you are a patient of a Provider","compliance with"
"Healow",2411,2412,"may use your information in connection with exploring or concluding such transaction . ? To","comply with","law . We may disclose your information to comply with any applicable laws and /","comply with"
"Healow",2421,2422,"such transaction . ? To comply with law . We may disclose your information to","comply with","any applicable laws and / or regulations , such as to comply with valid legal","comply with"
"Healow",2434,2435,"information to comply with any applicable laws and / or regulations , such as to","comply with","valid legal processes such as a search warrant , subpoena , or order from a","comply with"
"Healow",2437,2438,"with any applicable laws and / or regulations , such as to comply with valid","legal processes","such as a search warrant , subpoena , or order from a court or tribunal","legal process"
"Healow",2445,2445,", such as to comply with valid legal processes such as a search warrant ,","subpoena",", or order from a court or tribunal of competent jurisdiction . 6 . Data","subpoena"
"Healow",3405,3406,"marriage status , race / ethnicity , or veteran or disability status . 7.1.5 .","Compliance with","Law : To the extent permitted by law , healow will disclose Personal Information to","compliance with"
"Healow",3433,3433,"disclose Personal Information to government authorities or third parties pursuant to a legal request ,","subpoena",", or other legal process . healow may also use or disclose your Personal Information","subpoena"
"Healow",3437,3438,"government authorities or third parties pursuant to a legal request , subpoena , or other","legal process",". healow may also use or disclose your Personal Information as permitted by law to","legal process"
"Healow",4243,4245,"for which it was collected . healow will retain and use your Personal Information as","necessary to comply","with healow's business requirements , legal obligations , resolve disputes , protect our assets ,","necessary to comply"
"Healow",4245,4246,"it was collected . healow will retain and use your Personal Information as necessary to","comply with","healow's business requirements , legal obligations , resolve disputes , protect our assets , and","comply with"
"Healow",4251,4252,"retain and use your Personal Information as necessary to comply with healow's business requirements ,","legal obligations",", resolve disputes , protect our assets , and enforce our agreements . Additional information","legal obligation"
"Healow",4884,4885,", please contact your healthcare provider . Pursuant to applicable law , healow may be","required to","send you notice of known or suspected security breaches that impact your Personal Information .","required to"
"Healow",4906,4907,"or suspected security breaches that impact your Personal Information . In the event that healow","must provide","a notice of a security breach to you , healow will send security breach notices","must provide"
"Healow",4935,4937,"security breach notices to the contact information contained in your account information unless healow is","required by law","to notify you using another method . Otherwise , if healow needs , or is","required by law"
"Healow",5057,5058,"or as the context requires "" your "" ) . We adopt this notice to","comply with","the California Consumer Privacy Act of 2018 as amended by the California Privacy Rights Act","comply with"
"Healow",6010,6011,"fees , provide users with invoices , or resolve billing issues ? Carry out our","legal obligations","and enforce Company rights arising from any contracts to which we are a party ?","legal obligation"
"Healow",6124,6125,"in the CCPA / CPRA ? Verify certain consumer privacy rights requests ? Respond to","law enforcement","requests as required by applicable law , court order , or governmental regulations ? Detect","law enforcement"
"Healow",6127,6129,"/ CPRA ? Verify certain consumer privacy rights requests ? Respond to law enforcement requests","as required by","applicable law , court order , or governmental regulations ? Detect security incidents , protect","as required by"
"Healow",6133,6134,"privacy rights requests ? Respond to law enforcement requests as required by applicable law ,","court order",", or governmental regulations ? Detect security incidents , protect against malicious , deceptive ,","court order"
"Healow",6270,6271,"Advertising and Third-Party Data Collection Section 8 of this Privacy Policy , and we will","comply with","applicable law , including the CCPA / CPRA , as to such activity . To","comply with"
"Healow",6476,6477,"CCPA / CPRA Personal Information To facilitate the provision of Services to you and to","comply with","applicable law , we may disclose Your CCPA / CPRA Personal Information to third parties","comply with"
"Healow",6552,6553,"agents authorize us to disclose your CCPA / CPRA Personal Information or to which we","must provide","your CCPA / CPRA Personal Information to provide services to you ; and third parties","must provide"
"Healow",6570,6571,"CCPA / CPRA Personal Information to provide services to you ; and third parties to","comply with","applicable law , such as law enforcement . Read More about healow's Disclosure of CCPA","comply with"
"Healow",6577,6578,"services to you ; and third parties to comply with applicable law , such as","law enforcement",". Read More about healow's Disclosure of CCPA / CPRA Personal Information Scenarios in which","law enforcement"
"Healow",8337,8338,"a request related to CCPA / CPRA Personal Information about you , you will be","required to","supply a valid means of identification as a security precaution . We will verify your","required to"
"Healow",8842,8843,"United States of America . We make no representation that this Notice and such practices","comply with","the laws of any other country . Visitors who use this Site and reside outside","comply with"
"Healow",8872,8873,"reside outside the United States do so on their own initiative and are responsible for","compliance with","local laws , if and to the extent local laws are applicable . If you","compliance with"
"Klara",1323,1324,"help us tailor our communications or improve the Services . 3.5 . You are not","required to","provide us with any Personal Information that we request from you . However , failure","required to"
"Klara",1834,1836,"fraud , criminal activity , injury or damage to us or others ; when otherwise","required by law",", regulation , subpoena , court order , warrant or similar legal process ; or","required by law"
"Klara",1840,1840,"or damage to us or others ; when otherwise required by law , regulation ,","subpoena",", court order , warrant or similar legal process ; or if necessary to assert","subpoena"
"Klara",1842,1843,"to us or others ; when otherwise required by law , regulation , subpoena ,","court order",", warrant or similar legal process ; or if necessary to assert or protect our","court order"
"Klara",1848,1849,"otherwise required by law , regulation , subpoena , court order , warrant or similar","legal process","; or if necessary to assert or protect our rights or assets . 4.1.8 .","legal process"
"Klara",3094,3096,"fraud , criminal activity , injury or damage to us or others ; when otherwise","required by law",", regulation , subpoena , court order , warrant or similar legal process ; or","required by law"
"Klara",3100,3100,"or damage to us or others ; when otherwise required by law , regulation ,","subpoena",", court order , warrant or similar legal process ; or if necessary to assert","subpoena"
"Klara",3102,3103,"to us or others ; when otherwise required by law , regulation , subpoena ,","court order",", warrant or similar legal process ; or if necessary to assert or protect our","court order"
"Klara",3108,3109,"otherwise required by law , regulation , subpoena , court order , warrant or similar","legal process","; or if necessary to assert or protect our rights or assets . 6.2 .","legal process"
