"app","from","to","pre","keyword","post","vague_noun"
"Healow",7431,7431,"or employment-related information Administer user accounts Conduct diligence regarding our","vendors","and partners and administer vendor / partner relationships Provide ,","vendors"
"Healow",8530,8530,"shared with third parties and , in some cases ,","affiliates",", for those third parties ' and affiliates ' own","affiliates"
"Healow",8538,8538,"cases , affiliates , for those third parties ' and","affiliates","' own direct marketing purposes . Under the law ,","affiliates"
"Healow",8598,8598,"collected by us through the Services with third parties or","affiliates","for those third parties ' or affiliates ' own direct","affiliates"
"Healow",8605,8605,"third parties or affiliates for those third parties ' or","affiliates","' own direct marketing purposes . If you are a","affiliates"
"Klara",111,111,") explains what information Klara Technologies Inc . and its","affiliates","( collectively , “ Klara ” ) may collect from","affiliates"
"Klara",184,184,"we are talking about Klara Technologies Inc . and its","affiliates",". Also , when we talk about the “ Services","affiliates"
"Klara",1587,1588,"may be interested in any of the Services or our","business partners","’ products and services . If we think something may","business partners"
"Klara",2038,2038,"5 . DATA COLLECTION TECHNOLOGIES 5.1 . We and our","vendors","use cookies , pixel tags , log files , and","vendors"
"Klara",2218,2218,"used in tandem with cookies that enables us , our","vendors",", and our other business partners to record a user’s","vendors"
"Klara",2223,2224,"that enables us , our vendors , and our other","business partners","to record a user’s actions . We use web beacons","business partners"
"Klara",2690,2691,"request that we share your information with one of our","business partners","to take advantage of a feature that partner offers ,","business partners"
"Klara",2728,2728,"share your information internally ( e.g . , with our","affiliates",") in order to provide you the Services , to","affiliates"
"Klara",2810,2811,"your information to your Providers . 6.1.4 . With Our","Service Providers","or Contractors : We may share your information with our","service providers"
"Klara",2822,2823,"or Contractors : We may share your information with our","service providers","or contractors ( including third-party hosting providers ) that we","service providers"
"Klara",2882,2883,"monitoring , improving , and hosting the Services . Such","service providers","or contractors may contact you regarding their products and services","service providers"
"Klara",2898,2899,"you regarding their products and services . 6.1.5 . With","Business Partners",": We may share your information with our business partners","business partners"
"Klara",2908,2909,"Business Partners : We may share your information with our","business partners","in order to offer or provide you with the Services","business partners"
"Klara",2922,2923,"to offer or provide you with the Services or our","business partners","’ products and services , to identify if you may","business partners"
"Klara",2943,2944,"may be interested in any of the Services or our","business partners","’ products and services , or to Page 5 of","business partners"
"Klara",2962,2963,"Page 5 of 7 improve or develop new Services or","business partners","’ products or services . Our business partners may contact","business partners"
"Klara",2970,2971,"Services or business partners ’ products or services . Our","business partners","may contact you regarding their products or services . 6.1.6","business partners"
"Klara",3279,3280,"receive from Providers . 7.3 . We may use third-party","service providers","to serve advertisements on our behalf across the Internet .","service providers"
"Klara",3293,3294,"advertisements on our behalf across the Internet . These advertising","service providers","may collect ( through the use of Data Collection Technologies","service providers"
"Klara",3330,3331,"the information about your visits to our Site , our","service providers","may also use the information about your visits to other","service providers"
"Klara",3376,3377,"your choices for not having this information used by thirdparty","service providers",", please visit the Network Advertising Initiative’s website here .","service providers"
"Lemonaid.Health",860,861,"through your use of the Services , such as through","service providers","who use a variety of technologies and tools to collect","service providers"
"Lemonaid.Health",1299,1300,", we will do so on your behalf . ?","Service Providers",". Lemonaid may disclose your Personal Information with other companies","service providers"
"Lemonaid.Health",1337,1338,"services . For example , some of the types of","service providers","and contractors include : payment processors , order fulfillment ,","service providers"
"Lemonaid.Health",1359,1359,"marketing and analytics , cloud storage , IT and security","vendors",". For example , we use Google Analytics on our","vendors"
"Lemonaid.Health",1608,1608,"Personal Information as transferred to the new entity . ?","Affiliates",". We may disclose information with entities within the Lemonaid","affiliates"
"Lemonaid.Health",4122,4123,"12 months , we have disclosed your Personal Information to","service providers","and contractors for the business purposes described above , and","service providers"
"Lemonaid.Health",4310,4310,"a list of the categories of third parties and specific","affiliates","with whom we share the consumer health data ; and","affiliates"
"Lifesum",1426,1427,", or other messages , by Lifesum or Lifesum's selected","business partners",". Profiling will be used for marketing purposes to enable","business partners"
"Lifesum",2034,2035,"sales performance monitoring , customer support systems - and payment","service providers",". At times , some of your personal data by","service providers"
"Lifesum",2228,2229,"or in order to protect and defend Lifesum , our","business partners",", or users ' rights and interests , subject always","business partners"
"Manage.My.Pain",562,563,"to you . Collection of Personal Information We and our","service providers","collect Personal Information in a variety of ways , including","service providers"
"Manage.My.Pain",742,743,"Information relating to other people to us or to our","service providers","in connection with the Services , you represent that you","service providers"
"Manage.My.Pain",782,783,"Privacy Policy . Use of Personal Information We and our","service providers","use Personal Information for the following purposes : * Providing","service providers"
"Manage.My.Pain",1288,1289,"We disclose Personal Information : * To our third party","service providers",", to facilitate services they provide to us . -","service providers"
"Manage.My.Pain",1543,1543,"safety or property , and / or that of our","affiliates",", you or others . * In connection with a","affiliates"
"Manage.My.Pain",1701,1702,"your specific identity Collection of Other Information We and our","service providers","may collect Other Information in a variety of ways ,","service providers"
"Manage.My.Pain",1824,1825,"you download and use the App , we and our","service providers","may track and collect App usage data , such as","service providers"
"Manage.My.Pain",1932,1933,"preferences , and other traffic data . We and our","service providers","use the information for security purposes , to facilitate navigation","service providers"
"Manage.My.Pain",2967,2967,"the linked site or service by us or by our","affiliates",". In addition , we are not responsible for the","affiliates"
"Manage.My.Pain",3100,3101,"country where we have facilities or in which we engage","service providers",", and by using the Services you understand that your","service providers"
"My.Cycle",222,223,"identify you . Link to privacy policy of third party","service providers","used by the app ? Google Play Services ? AdMob","service providers"
"My.Cycle",452,453,"be able to use some portions of this Service .","Service Providers","I may employ third-party companies and individuals due to the","service providers"
"myAir",1937,1937,"Data to the following categories of recipients : * Our","affiliates",", subsidiaries and any company controlled by ResMed for purposes","affiliates"
"myAir",2011,2011,"categories of Personal Data listed in Section 2 with our","affiliates",", subsidiaries and any company owned or controlled by ResMed","affiliates"
"myAir",2064,2064,"of the jointly used Personal Data . * Our third-party","vendors",", service providers and partners who provide data processing services","vendors"
"myAir",2066,2067,"jointly used Personal Data . * Our third-party vendors ,","service providers","and partners who provide data processing services to us ,","service providers"
"myAir",2099,2099,"in this Notice . This may include disclosures to third-party","vendors","and other service providers we use in connection with the","vendors"
"myAir",2102,2103,". This may include disclosures to third-party vendors and other","service providers","we use in connection with the services they provide to","service providers"
"myAir",2142,2143,"and application services , marketing and data analytics . These","service providers","are limited to use the Personal Data disclosed only for","service providers"
"Not.Boring.Habits",3774,3775,"your IP address , in temporary memory or logs .","Service Providers","? We use a third party service to provide the","service providers"
"Not.Boring.Habits",3818,3819,", we send that location to our third party weather","service providers","to request local weather information . This data is not","service providers"
"Nurx",49,49,"“ Thirty Madison ” ) , and its subsidiaries and","affiliates",", understand the importance of your privacy and protecting your","affiliates"
"Nurx",1119,1119,"by applicable law , including those of our subsidiaries ,","affiliates",", etc . and any of their related businesses and","affiliates"
"Nurx",1308,1308,"in how they use and disclose your personal information .","Vendors","and Services Providers . We may provide information to third","vendors"
"Nurx",1310,1311,"they use and disclose your personal information . Vendors and","Services Providers",". We may provide information to third party vendors and","service providers"
"Nurx",1320,1320,"Services Providers . We may provide information to third party","vendors","and service providers that perform services and functions on our","vendors"
"Nurx",1322,1323,". We may provide information to third party vendors and","service providers","that perform services and functions on our behalf , such","service providers"
"Nurx",1364,1364,"products and services that you purchase from us . These","vendors","and service providers may have access to your personal information","vendors"
"Nurx",1366,1367,"services that you purchase from us . These vendors and","service providers","may have access to your personal information in order to","service providers"
"Nurx",2241,2242,"or the icon of the cookie . We and our","service providers","( e.g . sub-contractors , analytics providers , advertising networks","service providers"
"Planet.Fitness",1018,1018,"other sources such as : ● Franchisees . ● Corporate","affiliates",", which are parent companies , subsidiaries and affiliated entities","affiliates"
"Planet.Fitness",1758,1759,"recipients with whom we may share your information : ●","Service Providers",". Planet Fitness may disclose your information to service providers","service providers"
"Planet.Fitness",1768,1769,"Service Providers . Planet Fitness may disclose your information to","service providers","or agents who provide services to or on behalf of","service providers"
"Planet.Fitness",1824,1824,", membership benefits providers and retention services . ● Corporate","Affiliates",". We may share information with parent companies , subsidiaries","affiliates"
"Planet.Fitness",1940,1941,"may provide special offers for the Services in connection with","certain partnerships","with third parties . We may share your information with","certain partners"
"Planet.Fitness",2226,2226,"Services . We may transfer to another entity or its","affiliates","or service providers some or all information about you in","affiliates"
"Planet.Fitness",2228,2229,"We may transfer to another entity or its affiliates or","service providers","some or all information about you in connection with ,","service providers"
"Planet.Fitness",3065,3065,"States for use by Planet Fitness and / or its","affiliates","for any of the purposes described in this Policy .","affiliates"
"Radiance",834,835,"is used . For the purpose of the GDPR ,","Service Providers","are considered Data Processors . Third-party Social Media Service refers","service providers"
"Radiance",2013,2013,"and display content and advertising ( and work with third-party","vendors","who do so ) tailored to Your interests and /","vendors"
"Radiance",2161,2162,"share Your personal information in the following situations : With","Service Providers",": We may share Your personal information with Service Providers","service providers"
"Radiance",2171,2172,"Service Providers : We may share Your personal information with","Service Providers","to monitor and analyze the use of our Service ,","service providers"
"Radiance",2251,2251,"a portion of Our business to another company . With","Affiliates",": We may share Your information with Our affiliates ,","affiliates"
"Radiance",2260,2260,"With Affiliates : We may share Your information with Our","affiliates",", in which case we will require those affiliates to","affiliates"
"Radiance",2269,2269,"Our affiliates , in which case we will require those","affiliates","to honor this Privacy Policy . Affiliates include Our parent","affiliates"
"Radiance",2276,2276,"will require those affiliates to honor this Privacy Policy .","Affiliates","include Our parent company and any other subsidiaries , joint","affiliates"
"Radiance",2305,2306,"or that are under common control with Us . With","business partners",": We may share Your information with Our business partners","business partners"
"Radiance",2315,2316,"business partners : We may share Your information with Our","business partners","to offer You certain products , services or promotions .","business partners"
"Radiance",2946,2947,"Detailed Information on the Processing of Your Personal Data The","Service Providers","We use may have access to Your Personal Data .","service providers"
"Radiance",2960,2960,"may have access to Your Personal Data . These third-party","vendors","collect , store , use , process and transfer information","vendors"
"Radiance",2989,2990,"with their Privacy Policies . Analytics We may use third-party","Service providers","to monitor and analyze the use of our Service .","service providers"
"Radiance",3273,3274,"or by contacting Us . We may use Email Marketing","Service Providers","to manage and send emails to You . GetResponse GetResponse","service providers"
"Radiance",3482,3482,"accessed or visited our Service . We and Our third-party","vendors","use cookies and non-cookie technologies to help Us recognize Your","vendors"
"Radiance",3529,3529,"to be of more interest to You . These third-party","vendors","collect , store , use , process and transfer information","vendors"
"Radiance",3597,3597,"the performance of Our advertising campaigns Some of these third-party","vendors","may use non-cookie technologies that may not be impacted by","vendors"
"Radiance",3742,3742,"other online identifiers collected on Our Service with these third-party","vendors",". This allows Our third-party vendors to recognize and deliver","vendors"
"Radiance",3748,3748,"Service with these third-party vendors . This allows Our third-party","vendors","to recognize and deliver You ads across devices and browsers","vendors"
"Radiance",3770,3770,"To read more about the technologies used by these third-party","vendors","and their cross-device capabilities please refer to the Privacy Policy","vendors"
"Radiance",3789,3789,"Privacy Policy of each vendor listed below . The third-party","vendors","We use are : Google Ads ( AdWords ) Google","vendors"
"Radiance",6114,6115,"You . For example , through cookies We or our","Service Providers","set on Your Device as You navigate through our Service","service providers"
"Radiance",6128,6129,"Your Device as You navigate through our Service . From","Service Providers",". For example , third-party vendors to monitor and analyze","service providers"
"Radiance",6135,6135,"Service . From Service Providers . For example , third-party","vendors","to monitor and analyze the use of our Service ,","vendors"
"Radiance",6147,6147,"monitor and analyze the use of our Service , third-party","vendors","to deliver targeted advertising to You , third-party vendors for","vendors"
"Radiance",6156,6156,"third-party vendors to deliver targeted advertising to You , third-party","vendors","for payment processing , or other third-party vendors that We","vendors"
"Radiance",6164,6164,", third-party vendors for payment processing , or other third-party","vendors","that We use to provide the Service to You .","vendors"
"Radiance",6899,6900,"above categories with the following categories of third parties :","Service Providers","Payment processors Our affiliates Our business partners Third party vendors","service providers"
"Radiance",6904,6904,"categories of third parties : Service Providers Payment processors Our","affiliates","Our business partners Third party vendors to whom You or","affiliates"
"Radiance",6906,6907,"third parties : Service Providers Payment processors Our affiliates Our","business partners","Third party vendors to whom You or Your agents authorize","business partners"
"Radiance",6910,6910,"Providers Payment processors Our affiliates Our business partners Third party","vendors","to whom You or Your agents authorize Us to disclose","vendors"
"Radiance",7375,7376,"Your request , We will delete ( and direct Our","Service Providers","to delete ) Your personal information from our records ,","service providers"
"Radiance",7408,7409,"if retaining the information is necessary for Us or Our","Service Providers","to : Complete the transaction for which We collected the","service providers"
"Radiance",8024,8025,"Your right to opt-out , please contact Us . The","Service Providers","we partner with ( for example , our analytics or","service providers"
"Radiance",8135,8136,"of receiving ads that are personalized as served by our","Service Providers","by following our instructions presented on the Service : The","service providers"
"Runna",885,886,"anonymous information to provide information about the Services to potential","business partners","and other third parties . Rest assured that this information","business partners"
"Runna",1527,1528,"use these services to enable us , our advertisers and","service providers","to : ( a ) collect statistics on our websites","service providers"
"Runna",1682,1683,". Your consent provided to us . Compliance and Legal","Service Providers","To assist with compliance and legal obligations . Our legitimate","service providers"
"SimplePractice",535,536,"your Personal Information from third-party sources , such as our","business partners",", affiliates and social media platforms ( if you interact","business partners"
"SimplePractice",538,538,"from third-party sources , such as our business partners ,","affiliates","and social media platforms ( if you interact with us","affiliates"
"SimplePractice",1651,1652,"“ Reviews ” section of our websites . * To","Service Providers",": We may share your Personal Information with companies that","service providers"
"SimplePractice",1687,1688,", professional advising services , and payment processing ( “","Service Providers","” ) . When you use our CE Marketplace ,","service providers"
"SimplePractice",1714,1715,"with your permission , your name and license information with","Service Providers","to generate course completion certificates . Our policy is to","service providers"
"SimplePractice",1728,1729,"course completion certificates . Our policy is to authorize these","Service Providers","to use your Personal Information only as necessary to provide","service providers"
"SimplePractice",2620,2621,"based on your IP address . We and our third-party","Service Providers","may use ( i ) cookies or small data files","service providers"
"SimplePractice",3478,3479,"delete the Personal Information that we , including our third-party","Service Providers",", have collected or maintain about you . We may","service providers"
"SimplePractice",4261,4261,"the United States and other countries where we and our","vendors","operate . Social Media Widgets : Our Services may include","vendors"
